VendorID,VendorName,PhoneNumber,EmailAddress,Country
1682,"Premier Sport, Inc.",537-555-0100,constance1@adventure-works.com,Canada
1684,Professional Athletic Consultants,504-555-0100,albert1@adventure-works.com,Canada
1686,Pro Sport Industries,582-555-0100,dave1@adventure-works.com,Canada
1688,Wood Fitness,705-555-0100,jack3@adventure-works.com,Canada
1690,Bloomington Multisport,172-555-0100,marie1@adventure-works.com,Canada
1692,Carlson Specialties,519-555-0100,william4@adventure-works.com,United States
1692,Carlson Specialties,384-555-0100,caroline1@adventure-works.com,United States
1692,Carlson Specialties,194-555-0100,juanita1@adventure-works.com,United States
1694,"Compete, Inc.",177-555-0100,thomas3@adventure-works.com,Canada
1696,Chicago City Saddles,329-555-0100,stacy0@adventure-works.com,Canada
1698,Business Equipment Center,336-555-0100,leota0@adventure-works.com,United States
1698,Business Equipment Center,873-555-0100,john29@adventure-works.com,United States
